WellID	PlateID	Column	Row	i5	i7
Plate1_F9	1	9	F	i5_F9_515rcbc679	i7_R6_515rcbc408
Plate1_G9	1	9	G	i5_F9_515rcbc679	i7_R7_515rcbc417
Plate1_H9	1	9	H	i5_F9_515rcbc679	i7_R8_515rcbc829
Plate1_A10	1	10	A	i5_F10_515rcbc695	i7_R1_515rcbc105
Plate1_B10	1	10	B	i5_F10_515rcbc695	i7_R2_515rcbc158
Plate1_C10	1	10	C	i5_F10_515rcbc695	i7_R3_515rcbc263
Plate1_D10	1	10	D	i5_F10_515rcbc695	i7_R4_515rcbc370
Plate1_E10	1	10	E	i5_F10_515rcbc695	i7_R5_515rcbc388
Plate1_F10	1	10	F	i5_F10_515rcbc695	i7_R6_515rcbc408
Plate1_G10	1	10	G	i5_F10_515rcbc695	i7_R7_515rcbc417
Plate1_H10	1	10	H	i5_F10_515rcbc695	i7_R8_515rcbc829
Plate1_A11	1	11	A	i5_F11_515rcbc789	i7_R1_515rcbc105
Plate1_B11	1	11	B	i5_F11_515rcbc789	i7_R2_515rcbc158
Plate1_C11	1	11	C	i5_F11_515rcbc789	i7_R3_515rcbc263
Plate1_D11	1	11	D	i5_F11_515rcbc789	i7_R4_515rcbc370
Plate1_E11	1	11	E	i5_F11_515rcbc789	i7_R5_515rcbc388
Plate1_F11	1	11	F	i5_F11_515rcbc789	i7_R6_515rcbc408
Plate1_G11	1	11	G	i5_F11_515rcbc789	i7_R7_515rcbc417
Plate1_H11	1	11	H	i5_F11_515rcbc789	i7_R8_515rcbc829
Plate1_A12	1	12	A	i5_F12_515rcbc950	i7_R1_515rcbc105
Plate1_B12	1	12	B	i5_F12_515rcbc950	i7_R2_515rcbc158
Plate1_C12	1	12	C	i5_F12_515rcbc950	i7_R3_515rcbc263
Plate1_D12	1	12	D	i5_F12_515rcbc950	i7_R4_515rcbc370
Plate1_E12	1	12	E	i5_F12_515rcbc950	i7_R5_515rcbc388
Plate1_F12	1	12	F	i5_F12_515rcbc950	i7_R6_515rcbc408
Plate1_G12	1	12	G	i5_F12_515rcbc950	i7_R7_515rcbc417
Plate1_H12	1	12	H	i5_F12_515rcbc950	i7_R8_515rcbc829
Plate2_A1	2	1	A	i5_F1_515rcbc110	i7_R9_515rcbc262
Plate2_B1	2	1	B	i5_F1_515rcbc110	i7_R10_515rcbc307
Plate2_C1	2	1	C	i5_F1_515rcbc110	i7_R11_515rcbc380
Plate2_D1	2	1	D	i5_F1_515rcbc110	i7_R12_515rcbc507
Plate2_E1	2	1	E	i5_F1_515rcbc110	i7_R13_515rcbc552
Plate2_F1	2	1	F	i5_F1_515rcbc110	i7_R14_515rcbc633
Plate2_G1	2	1	G	i5_F1_515rcbc110	i7_R15_515rcbc794
Plate2_H1	2	1	H	i5_F1_515rcbc110	i7_R16_515rcbc850
Plate2_A2	2	2	A	i5_F2_515rcbc184	i7_R9_515rcbc262
Plate2_B2	2	2	B	i5_F2_515rcbc184	i7_R10_515rcbc307
Plate2_C2	2	2	C	i5_F2_515rcbc184	i7_R11_515rcbc380
Plate2_D2	2	2	D	i5_F2_515rcbc184	i7_R12_515rcbc507
Plate2_E2	2	2	E	i5_F2_515rcbc184	i7_R13_515rcbc552
Plate2_F2	2	2	F	i5_F2_515rcbc184	i7_R14_515rcbc633
Plate2_G2	2	2	G	i5_F2_515rcbc184	i7_R15_515rcbc794
Plate2_H2	2	2	H	i5_F2_515rcbc184	i7_R16_515rcbc850
Plate2_A3	2	3	A	i5_F3_515rcbc434	i7_R9_515rcbc262
Plate2_B3	2	3	B	i5_F3_515rcbc434	i7_R10_515rcbc307
Plate2_C3	2	3	C	i5_F3_515rcbc434	i7_R11_515rcbc380
Plate2_D3	2	3	D	i5_F3_515rcbc434	i7_R12_515rcbc507
Plate2_E3	2	3	E	i5_F3_515rcbc434	i7_R13_515rcbc552
Plate2_F3	2	3	F	i5_F3_515rcbc434	i7_R14_515rcbc633
Plate2_G3	2	3	G	i5_F3_515rcbc434	i7_R15_515rcbc794
Plate2_H3	2	3	H	i5_F3_515rcbc434	i7_R16_515rcbc850
Plate2_A4	2	4	A	i5_F4_515rcbc443	i7_R9_515rcbc262
Plate2_B4	2	4	B	i5_F4_515rcbc443	i7_R10_515rcbc307
Plate2_C4	2	4	C	i5_F4_515rcbc443	i7_R11_515rcbc380
Plate2_D4	2	4	D	i5_F4_515rcbc443	i7_R12_515rcbc507
Plate2_E4	2	4	E	i5_F4_515rcbc443	i7_R13_515rcbc552
Plate2_F4	2	4	F	i5_F4_515rcbc443	i7_R14_515rcbc633
Plate2_G4	2	4	G	i5_F4_515rcbc443	i7_R15_515rcbc794
Plate2_H4	2	4	H	i5_F4_515rcbc443	i7_R16_515rcbc850
Plate2_A5	2	5	A	i5_F5_515rcbc551	i7_R9_515rcbc262
Plate2_B5	2	5	B	i5_F5_515rcbc551	i7_R10_515rcbc307
Plate2_C5	2	5	C	i5_F5_515rcbc551	i7_R11_515rcbc380
Plate2_D5	2	5	D	i5_F5_515rcbc551	i7_R12_515rcbc507
Plate2_E5	2	5	E	i5_F5_515rcbc551	i7_R13_515rcbc552
Plate2_F5	2	5	F	i5_F5_515rcbc551	i7_R14_515rcbc633
Plate2_G5	2	5	G	i5_F5_515rcbc551	i7_R15_515rcbc794
Plate2_H5	2	5	H	i5_F5_515rcbc551	i7_R16_515rcbc850
Plate2_A6	2	6	A	i5_F6_515rcbc587	i7_R9_515rcbc262
Plate2_B6	2	6	B	i5_F6_515rcbc587	i7_R10_515rcbc307
Plate2_C6	2	6	C	i5_F6_515rcbc587	i7_R11_515rcbc380
Plate2_D6	2	6	D	i5_F6_515rcbc587	i7_R12_515rcbc507
Plate2_E6	2	6	E	i5_F6_515rcbc587	i7_R13_515rcbc552
Plate2_F6	2	6	F	i5_F6_515rcbc587	i7_R14_515rcbc633
Plate2_G6	2	6	G	i5_F6_515rcbc587	i7_R15_515rcbc794
Plate2_H6	2	6	H	i5_F6_515rcbc587	i7_R16_515rcbc850
Plate2_A7	2	7	A	i5_F7_515rcbc621	i7_R9_515rcbc262
Plate2_B7	2	7	B	i5_F7_515rcbc621	i7_R10_515rcbc307
Plate2_C7	2	7	C	i5_F7_515rcbc621	i7_R11_515rcbc380
Plate2_D7	2	7	D	i5_F7_515rcbc621	i7_R12_515rcbc507
Plate2_E7	2	7	E	i5_F7_515rcbc621	i7_R13_515rcbc552
Plate2_F7	2	7	F	i5_F7_515rcbc621	i7_R14_515rcbc633
Plate2_G7	2	7	G	i5_F7_515rcbc621	i7_R15_515rcbc794
Plate2_H7	2	7	H	i5_F7_515rcbc621	i7_R16_515rcbc850
Plate2_A8	2	8	A	i5_F8_515rcbc628	i7_R9_515rcbc262
Plate2_B8	2	8	B	i5_F8_515rcbc628	i7_R10_515rcbc307
Plate2_C8	2	8	C	i5_F8_515rcbc628	i7_R11_515rcbc380
Plate2_D8	2	8	D	i5_F8_515rcbc628	i7_R12_515rcbc507
Plate2_E8	2	8	E	i5_F8_515rcbc628	i7_R13_515rcbc552
Plate2_F8	2	8	F	i5_F8_515rcbc628	i7_R14_515rcbc633
Plate2_G8	2	8	G	i5_F8_515rcbc628	i7_R15_515rcbc794
Plate2_H8	2	8	H	i5_F8_515rcbc628	i7_R16_515rcbc850
Plate2_A9	2	9	A	i5_F9_515rcbc679	i7_R9_515rcbc262
Plate2_B9	2	9	B	i5_F9_515rcbc679	i7_R10_515rcbc307
Plate2_C9	2	9	C	i5_F9_515rcbc679	i7_R11_515rcbc380
Plate2_D9	2	9	D	i5_F9_515rcbc679	i7_R12_515rcbc507
Plate2_E9	2	9	E	i5_F9_515rcbc679	i7_R13_515rcbc552
Plate2_F9	2	9	F	i5_F9_515rcbc679	i7_R14_515rcbc633
Plate2_G9	2	9	G	i5_F9_515rcbc679	i7_R15_515rcbc794
Plate2_H9	2	9	H	i5_F9_515rcbc679	i7_R16_515rcbc850
Plate2_A10	2	10	A	i5_F10_515rcbc695	i7_R9_515rcbc262
Plate2_B10	2	10	B	i5_F10_515rcbc695	i7_R10_515rcbc307
Plate2_C10	2	10	C	i5_F10_515rcbc695	i7_R11_515rcbc380
Plate2_D10	2	10	D	i5_F10_515rcbc695	i7_R12_515rcbc507
Plate2_E10	2	10	E	i5_F10_515rcbc695	i7_R13_515rcbc552
Plate2_F10	2	10	F	i5_F10_515rcbc695	i7_R14_515rcbc633
Plate2_G10	2	10	G	i5_F10_515rcbc695	i7_R15_515rcbc794
Plate2_H10	2	10	H	i5_F10_515rcbc695	i7_R16_515rcbc850
Plate2_A11	2	11	A	i5_F11_515rcbc789	i7_R9_515rcbc262
Plate2_B11	2	11	B	i5_F11_515rcbc789	i7_R10_515rcbc307
Plate2_C11	2	11	C	i5_F11_515rcbc789	i7_R11_515rcbc380
Plate2_D11	2	11	D	i5_F11_515rcbc789	i7_R12_515rcbc507
Plate2_E11	2	11	E	i5_F11_515rcbc789	i7_R13_515rcbc552
Plate2_F11	2	11	F	i5_F11_515rcbc789	i7_R14_515rcbc633
Plate2_G11	2	11	G	i5_F11_515rcbc789	i7_R15_515rcbc794
Plate2_H11	2	11	H	i5_F11_515rcbc789	i7_R16_515rcbc850
Plate2_A12	2	12	A	i5_F12_515rcbc950	i7_R9_515rcbc262
Plate2_B12	2	12	B	i5_F12_515rcbc950	i7_R10_515rcbc307
Plate2_C12	2	12	C	i5_F12_515rcbc950	i7_R11_515rcbc380
Plate2_D12	2	12	D	i5_F12_515rcbc950	i7_R12_515rcbc507
Plate2_E12	2	12	E	i5_F12_515rcbc950	i7_R13_515rcbc552
Plate2_F12	2	12	F	i5_F12_515rcbc950	i7_R14_515rcbc633
Plate2_G12	2	12	G	i5_F12_515rcbc950	i7_R15_515rcbc794
Plate2_H12	2	12	H	i5_F12_515rcbc950	i7_R16_515rcbc850
Plate3_A1	3	1	A	i5_F1_515rcbc110	i7_R17_515rcbc2
Plate3_B1	3	1	B	i5_F1_515rcbc110	i7_R18_515rcbc257
Plate3_C1	3	1	C	i5_F1_515rcbc110	i7_R19_515rcbc364
Plate3_D1	3	1	D	i5_F1_515rcbc110	i7_R20_515rcbc406
